annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor,particle_size_min,particle_size_max
0.0002976,0.1,1.0,1.0,0.0,0.0,0.0,0.000297551,0.000167658,0.0,6678.137,10.0,0.26,1.0,0.01,100.0
0.0004978,1e-09,0.564825,8.58481e-06,0.999991,0.99999,21.6153,0.000281172,1.85976e-09,0.000216632,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,7.7e-09,0.56485,6.61182e-05,0.999934,0.999988,17.8182,0.000281184,1.43234e-08,0.000216619,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,6e-08,0.565045,0.000515257,0.999485,0.999985,13.9991,0.000281281,1.11622e-07,0.000216522,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,4.6e-07,0.56654,0.00395026,0.99605,0.999979,10.2104,0.000282026,8.5576e-07,0.000215778,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,3.6e-06,0.578273,0.0309108,0.969089,0.999967,6.38372,0.000287866,6.69631e-06,0.000209937,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,2.8e-05,0.669441,0.240407,0.759593,0.999936,2.56834,0.00033325,5.20803e-05,0.000164553,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,0.00022,0.988808,0.974282,0.0257181,0.999714,0.0194625,0.000492232,0.000211062,5.57141e-06,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,0.0017,0.999974,0.999941,5.87523e-05,0.997971,6.27385e-06,0.000497791,0.000216621,1.27277e-08,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,0.013,1.0,1.0,0.0,0.0,0.0,0.000497804,0.000216634,0.0,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,0.1,1.0,1.0,0.0,0.0,0.0,0.000497804,0.000216634,0.0,6778.137,10.0,0.26,1.0,0.01,100.0
0.00119,1e-09,0.619908,7.85067e-06,0.999992,0.99999,44.0958,0.000737431,3.54971e-09,0.000452151,6878.137,10.0,0.26,1.0,0.01,100.0
0.00119,7.7e-09,0.619929,6.39209e-05,0.999936,0.999988,36.3721,0.000737456,2.89021e-08,0.000452125,6878.137,10.0,0.26,1.0,0.01,100.0
0.00119,6e-08,0.620095,0.000501648,0.999498,0.999984,28.6047,0.000737654,2.26823e-07,0.000451928,6878.137,10.0,0.26,1.0,0.01,100.0
0.00119,4.6e-07,0.621367,0.0038484,0.996152,0.999978,20.9003,0.000739167,1.74007e-06,0.000450414,6878.137,10.0,0.26,1.0,0.01,100.0
0.00119,3.6e-06,0.631353,0.0301189,0.969881,0.999967,13.1174,0.000751045,1.36184e-05,0.000438536,6878.137,10.0,0.26,1.0,0.01,100.0
0.00119,2.8e-05,0.708946,0.23426,0.76574,0.999935,5.35768,0.000843349,0.000105922,0.000346233,6878.137,10.0,0.26,1.0,0.01,100.0
0.00119,0.00022,0.99389,0.983925,0.0160747,0.999717,0.0256682,0.00118231,0.000444886,7.26827e-06,6878.137,10.0,0.26,1.0,0.01,100.0
0.00119,0.0017,0.999987,0.999967,3.29864e-05,0.998133,7.98747e-06,0.00118957,0.000452139,1.4915e-08,6878.137,10.0,0.26,1.0,0.01,100.0
0.00119,0.013,1.0,1.0,0.0,0.0,0.0,0.00118958,0.000452154,0.0,6878.137,10.0,0.26,1.0,0.01,100.0
0.00119,0.1,1.0,1.0,0.0,0.0,0.0,0.00118958,0.000452154,0.0,6878.137,10.0,0.26,1.0,0.01,100.0
0.002594,1e-09,0.623207,1.10928e-05,0.999989,0.999992,123.32,0.00161674,1.08432e-08,0.000977487,6978.137,10.0,0.26,1.0,0.01,100.0
0.002594,7.7e-09,0.623235,8.54623e-05,0.999915,0.99999,101.179,0.00161682,8.35392e-08,0.000977414,6978.137,10.0,0.26,1.0,0.01,100.0
0.002594,6e-08,0.623454,0.000665508,0.999334,0.999988,78.9218,0.00161738,6.50532e-07,0.000976847,6978.137,10.0,0.26,1.0,0.01,100.0
0.002594,4.6e-07,0.625126,0.00510357,0.994896,0.999983,56.8307,0.00162172,4.98873e-06,0.000972509,6978.137,10.0,0.26,1.0,0.01,100.0
0.002594,3.6e-06,0.638251,0.0399353,0.960065,0.999973,34.5209,0.00165577,3.90367e-05,0.000938461,6978.137,10.0,0.26,1.0,0.01,100.0
0.002594,2.8e-05,0.740239,0.310607,0.689393,0.999945,12.2767,0.00192035,0.000303617,0.00067388,6978.137,10.0,0.26,1.0,0.01,100.0
0.002594,0.00022,0.995625,0.988389,0.0116114,0.99973,0.0420624,0.00258288,0.000966147,1.13501e-05,6978.137,10.0,0.26,1.0,0.01,100.0
0.002594,0.0017,1.0,1.0,3.3028e-08,0.998266,1.86179e-08,0.00259423,0.000977497,3.22848e-11,6978.137,10.0,0.26,1.0,0.01,100.0
0.002594,0.013,1.0,1.0,0.0,0.0,0.0,0.00259423,0.000977497,0.0,6978.137,10.0,0.26,1.0,0.01,100.0
0.002594,0.1,1.0,1.0,0.0,0.0,0.0,0.00259423,0.000977497,0.0,6978.137,10.0,0.26,1.0,0.01,100.0
0.004174,1e-09,0.724358,1.19024e-05,0.999988,0.999993,155.016,0.00302318,1.36928e-08,0.00115042,7078.137,10.0,0.26,1.0,0.01,100.0
0.004174,7.7e-09,0.72438,9.16709e-05,0.999908,0.999991,127.062,0.00302327,1.05461e-07,0.00115032,7078.137,10.0,0.26,1.0,0.01,100.0
0.004174,6e-08,0.724552,0.000714138,0.999286,0.999988,98.9515,0.00302398,8.21565e-07,0.00114961,7078.137,10.0,0.26,1.0,0.01,100.0
0.004174,4.6e-07,0.725864,0.005475,0.994525,0.999984,71.0605,0.00302946,6.2986e-06,0.00114413,7078.137,10.0,0.26,1.0,0.01,100.0
0.004174,3.6e-06,0.736167,0.0428507,0.957149,0.999974,42.8865,0.00307246,4.92967e-05,0.00110113,7078.137,10.0,0.26,1.0,0.01,100.0
0.004174,2.8e-05,0.816207,0.333227,0.666773,0.999948,14.8006,0.00340652,0.000383354,0.000767075,7078.137,10.0,0.26,1.0,0.01,100.0
