 36 36 +3.9860043600D+05  N  M  MU        MODEL: GEM-T1
  0  1  6.3781370000D+03  -  -  AE
 2 217 -2.7786303300D-12  S(21, 7)*MU
 1 218 -1.7756450910D-12  C(21, 8)*MU
 2 218 +2.4728374490D-13  S(21, 8)*MU
 1 219 +8.6037279830D-14  C(21, 9)*MU
 2 219 -4.6649898180D-14  S(21, 9)*MU
 1 220 +9.4114879560D-16  C(21,10)*MU
 2 220 +4.7274790160D-16  S(21,10)*MU
 1 221 +1.2739697980D-16  C(21,11)*MU
 2 221 -5.0493357830D-16  S(21,11)*MU
 1 222 +2.1337057180D-18  C(21,12)*MU
 2 222 +9.6018608300D-18  S(21,12)*MU
 1 223 -7.8488451370D-19  C(21,13)*MU
 2 223 +5.0096315490D-19  S(21,13)*MU
 1 224 +4.8471901940D-20  C(21,14)*MU
 2 224 +2.2458172840D-20  S(21,14)*MU
 1 225 +2.7028983020D-21  C(21,15)*MU
 2 225 +2.4367186080D-21  S(21,15)*MU
 1 226 +9.5318350880D-23  C(21,16)*MU
 2 226 -5.6268739870D-23  S(21,16)*MU
 1 227 -5.3416399940D-24  C(21,17)*MU
 2 227 +6.6482319040D-25  S(21,17)*MU
 1 228 +1.0670022220D-24  C(21,18)*MU
 2 228 -4.1646273890D-25  S(21,18)*MU
 1 229 -1.2125356090D-25  C(21,19)*MU
 2 229 +9.1897258830D-26  S(21,19)*MU
 1 230 -1.2169287850D-26  C(21,20)*MU
 2 230 +1.1846501880D-26  S(21,20)*MU
 1 231 +2.4431950320D-28  C(21,21)*MU
 2 231 -6.7562106860D-28  S(21,21)*MU
 1 232 +1.4111783480D-03  C(22, 1)*MU
 2 232 -2.4753638490D-03  S(22, 1)*MU
 1 233 -1.0702263490D-04  C(22, 2)*MU
 2 233 +1.5693109780D-05  S(22, 2)*MU
 1 234 +2.2521521070D-06  C(22, 3)*MU
 2 234 -2.7095629040D-06  S(22, 3)*MU
 1 235 -1.4232298600D-07  C(22, 4)*MU
 2 235 +2.5176540830D-07  S(22, 4)*MU
 1 236 -3.1667145060D-09  C(22, 5)*MU
 2 236 -8.5925721880D-11  S(22, 5)*MU
 1 237 +4.5817157320D-10  C(22, 6)*MU
 2 237 +7.6272510150D-11  S(22, 6)*MU
 1 238 +1.8547292650D-11  C(22, 7)*MU
